algorithm,file,iteration,tempo,memoria
greedy,input_1000_100.txt,1,0.003223896026611328,24
greedy,input_1000_100.txt,2,0.0038864612579345703,24
greedy,input_1000_100.txt,3,0.00408482551574707,24
greedy,input_1000_100.txt,4,0.0034334659576416016,24
greedy,input_1000_100.txt,5,0.003042459487915039,24
greedy,input_1000_100.txt,6,0.0026426315307617188,24
greedy,input_1000_100.txt,7,0.0030176639556884766,24
greedy,input_1000_100.txt,8,0.0028014183044433594,24
greedy,input_1000_100.txt,9,0.002522706985473633,24
greedy,input_1000_100.txt,10,0.0025453567504882812,24
greedy,input_10000_100.txt,1,0.019118070602416992,24
greedy,input_10000_100.txt,2,0.041779279708862305,24
greedy,input_10000_100.txt,3,0.013994216918945312,24
greedy,input_10000_100.txt,4,0.016854524612426758,24
greedy,input_10000_100.txt,5,0.010360240936279297,24
greedy,input_10000_100.txt,6,0.010989189147949219,24
greedy,input_10000_100.txt,7,0.010936975479125977,24
greedy,input_10000_100.txt,8,0.01056981086730957,24
greedy,input_10000_100.txt,9,0.01003408432006836,24
greedy,input_10000_100.txt,10,0.010023832321166992,24
greedy,input_100000_100.txt,1,0.0908198356628418,24
greedy,input_100000_100.txt,2,0.08981561660766602,24
greedy,input_100000_100.txt,3,0.08757948875427246,24
greedy,input_100000_100.txt,4,0.08751511573791504,24
greedy,input_100000_100.txt,5,0.10249829292297363,24
greedy,input_100000_100.txt,6,0.08671736717224121,24
greedy,input_100000_100.txt,7,0.08587908744812012,24
greedy,input_100000_100.txt,8,0.08417749404907227,24
greedy,input_100000_100.txt,9,0.08322811126708984,24
greedy,input_100000_100.txt,10,0.08640718460083008,24
greedy,input_1000000_100.txt,1,0.8771271705627441,24
greedy,input_1000000_100.txt,2,0.9120240211486816,24
greedy,input_1000000_100.txt,3,0.867931604385376,24
greedy,input_1000000_100.txt,4,0.870070219039917,24
greedy,input_1000000_100.txt,5,1.0333454608917236,24
greedy,input_1000000_100.txt,6,0.9436078071594238,24
greedy,input_1000000_100.txt,7,0.926793098449707,24
greedy,input_1000000_100.txt,8,0.8556995391845703,24
greedy,input_1000000_100.txt,9,0.8301248550415039,24
greedy,input_1000000_100.txt,10,0.8311445713043213,24
greedy,input_10000000_100.txt,1,9.19212293624878,24
greedy,input_10000000_100.txt,2,9.448614835739136,24
greedy,input_10000000_100.txt,3,9.410409212112427,24
greedy,input_10000000_100.txt,4,9.613169193267822,24
greedy,input_10000000_100.txt,5,9.711590766906738,24
greedy,input_10000000_100.txt,6,9.656230211257935,24
greedy,input_10000000_100.txt,7,9.400906324386597,24
greedy,input_10000000_100.txt,8,9.072726964950562,24
greedy,input_10000000_100.txt,9,9.168500185012817,24
greedy,input_10000000_100.txt,10,9.369768142700195,24
greedy,input_100000000_100.txt,1,97.21856307983398,24
greedy,input_100000000_100.txt,2,99.08346557617188,24
greedy,input_100000000_100.txt,3,95.3107533454895,24
greedy,input_100000000_100.txt,4,96.66204881668091,24
greedy,input_100000000_100.txt,5,97.92571663856506,24
greedy,input_100000000_100.txt,6,97.89976477622986,24
greedy,input_100000000_100.txt,7,96.33900618553162,24
greedy,input_100000000_100.txt,8,96.94085264205933,24
greedy,input_100000000_100.txt,9,98.4347631931305,24
greedy,input_100000000_100.txt,10,100.23467469215393,24
randomization,input_1000_100.txt,1,0.002853870391845703,222
randomization,input_1000_100.txt,2,0.0026786327362060547,222
randomization,input_1000_100.txt,3,0.0026547908782958984,222
randomization,input_1000_100.txt,4,0.002615213394165039,222
randomization,input_1000_100.txt,5,0.002696990966796875,222
randomization,input_1000_100.txt,6,0.002662181854248047,222
randomization,input_1000_100.txt,7,0.002725839614868164,222
randomization,input_1000_100.txt,8,0.002863645553588867,222
randomization,input_1000_100.txt,9,0.0027403831481933594,222
randomization,input_1000_100.txt,10,0.002650022506713867,222
randomization,input_10000_100.txt,1,0.01442408561706543,2022
randomization,input_10000_100.txt,2,0.013511419296264648,2022
randomization,input_10000_100.txt,3,0.013371467590332031,2022
randomization,input_10000_100.txt,4,0.01314091682434082,2022
randomization,input_10000_100.txt,5,0.01328420639038086,2022
randomization,input_10000_100.txt,6,0.013222217559814453,2022
randomization,input_10000_100.txt,7,0.013499259948730469,2022
randomization,input_10000_100.txt,8,0.013232231140136719,2022
randomization,input_10000_100.txt,9,0.013221979141235352,2022
randomization,input_10000_100.txt,10,0.013352632522583008,2022
randomization,input_100000_100.txt,1,0.09390830993652344,4445
randomization,input_100000_100.txt,2,0.08497142791748047,4445
randomization,input_100000_100.txt,3,0.08731484413146973,4445
randomization,input_100000_100.txt,4,0.09251093864440918,4445
randomization,input_100000_100.txt,5,0.09947776794433594,4445
randomization,input_100000_100.txt,6,0.09215497970581055,4445
randomization,input_100000_100.txt,7,0.08922266960144043,4445
randomization,input_100000_100.txt,8,0.08850574493408203,4445
randomization,input_100000_100.txt,9,0.08580899238586426,4445
randomization,input_100000_100.txt,10,0.09046268463134766,4445
randomization,input_1000000_100.txt,1,0.9036667346954346,5363
randomization,input_1000000_100.txt,2,0.9012331962585449,5363
randomization,input_1000000_100.txt,3,0.9389469623565674,5363
randomization,input_1000000_100.txt,4,0.9033510684967041,5363
randomization,input_1000000_100.txt,5,0.8693020343780518,5363
randomization,input_1000000_100.txt,6,0.8804135322570801,5363
randomization,input_1000000_100.txt,7,0.9030258655548096,5363
randomization,input_1000000_100.txt,8,0.9563462734222412,5363
randomization,input_1000000_100.txt,9,0.9120659828186035,5363
randomization,input_1000000_100.txt,10,0.9337887763977051,5363
randomization,input_10000000_100.txt,1,9.700035333633423,5038
randomization,input_10000000_100.txt,2,9.815197706222534,5038
randomization,input_10000000_100.txt,3,9.478609323501587,5038
randomization,input_10000000_100.txt,4,9.473434209823608,5038
randomization,input_10000000_100.txt,5,9.539283514022827,5038
randomization,input_10000000_100.txt,6,9.453576803207397,5038
randomization,input_10000000_100.txt,7,9.423208236694336,5038
randomization,input_10000000_100.txt,8,9.484506130218506,5038
randomization,input_10000000_100.txt,9,9.557067155838013,5038
randomization,input_10000000_100.txt,10,9.323713541030884,5038
randomization,input_100000000_100.txt,1,98.96918106079102,4254
randomization,input_100000000_100.txt,2,98.93735790252686,4254
randomization,input_100000000_100.txt,3,98.43779873847961,4254
randomization,input_100000000_100.txt,4,102.79180145263672,4254
randomization,input_100000000_100.txt,5,99.86524677276611,4254
randomization,input_100000000_100.txt,6,98.09473633766174,4254
randomization,input_100000000_100.txt,7,100.46974492073059,4254
randomization,input_100000000_100.txt,8,100.0037100315094,4254
randomization,input_100000000_100.txt,9,98.47209930419922,4254
randomization,input_100000000_100.txt,10,99.54357671737671,4254
