algorithm,file,iteration,tempo,memoria
exaustiva,input_30_1.txt,1,1.0398681163787842,8
exaustiva,input_30_1.txt,2,1.0904831886291504,7
exaustiva,input_30_1.txt,3,1.0091452598571777,7
exaustiva,input_30_1.txt,4,0.9500596523284912,7
exaustiva,input_30_1.txt,5,0.9530880451202393,7
exaustiva,input_30_1.txt,6,0.937999963760376,7
exaustiva,input_30_1.txt,7,1.0686323642730713,7
exaustiva,input_30_1.txt,8,0.9399888515472412,8
exaustiva,input_30_1.txt,9,1.037057638168335,8
exaustiva,input_30_1.txt,10,1.0003230571746826,8
exaustiva,input_30_3.txt,1,0.0023674964904785156,10
exaustiva,input_30_3.txt,2,0.002272367477416992,10
exaustiva,input_30_3.txt,3,0.002095937728881836,10
exaustiva,input_30_3.txt,4,0.002080202102661133,10
exaustiva,input_30_3.txt,5,0.0020592212677001953,10
exaustiva,input_30_3.txt,6,0.002081632614135742,10
exaustiva,input_30_3.txt,7,0.002042531967163086,10
exaustiva,input_30_3.txt,8,0.0022199153900146484,10
exaustiva,input_30_3.txt,9,0.002279996871948242,10
exaustiva,input_30_3.txt,10,0.0021049976348876953,10
exaustiva,input_30_5.txt,1,0.431931734085083,8
exaustiva,input_30_5.txt,2,0.421722412109375,10
exaustiva,input_30_5.txt,3,0.445448637008667,10
exaustiva,input_30_5.txt,4,0.42661190032958984,8
exaustiva,input_30_5.txt,5,0.45322299003601074,8
exaustiva,input_30_5.txt,6,0.4401679039001465,8
exaustiva,input_30_5.txt,7,0.4712092876434326,10
exaustiva,input_30_5.txt,8,0.49912023544311523,10
exaustiva,input_30_5.txt,9,0.441162109375,10
exaustiva,input_30_5.txt,10,0.4355430603027344,10
exaustiva,input_30_8.txt,1,0.25019359588623047,12
exaustiva,input_30_8.txt,2,0.296680212020874,12
exaustiva,input_30_8.txt,3,0.3076639175415039,12
exaustiva,input_30_8.txt,4,0.27150678634643555,12
exaustiva,input_30_8.txt,5,0.29459619522094727,12
exaustiva,input_30_8.txt,6,0.28774333000183105,12
exaustiva,input_30_8.txt,7,0.37270236015319824,12
exaustiva,input_30_8.txt,8,0.2555062770843506,12
exaustiva,input_30_8.txt,9,0.2821018695831299,12
exaustiva,input_30_8.txt,10,0.3475167751312256,12
exaustiva,input_30_10.txt,1,0.13063335418701172,19
exaustiva,input_30_10.txt,2,0.12373733520507812,19
exaustiva,input_30_10.txt,3,0.11467695236206055,19
exaustiva,input_30_10.txt,4,0.11186766624450684,19
